County Name,Total Population (2018),Total Population (2019),Total Population (2020),Hispanic Population (2018),Hispanic Population (2019),Hispanic Population (2020),White Population (2018),White Population (2019),White Population (2020),Black Population (2018),Black Population (2019),Black Population (2020),Asian Population (2018),Asian Population (2019),Asian Population (2020),Native American Population (2018),Native American Population (2019),Native American Population (2020),Pacific Islander Population (2018),Pacific Islander Population (2019),Pacific Islander Population (2020),Other Race Population (2018),Other Race Population (2019),Other Race Population (2020)
Kalamazoo County,"261,573","262,745","264,322","12,593","12,975","13,573","212,284","212,216","210,967","28,440","29,215","29,156","6,385","6,259","6,390",689,596,509,69,108,99,"1,510","1,754","2,603"
Kalkaska County,"17,463","17,585","17,725",337,354,377,"16,726","16,871","16,902",161,170,190,106,95,93,133,158,131,0,0,0,49,7,27
Kent County,"643,140","648,121","652,617","67,179","68,519","70,152","513,126","515,653","510,479","62,203","62,188","61,191","19,311","19,427","20,064","2,649","2,334","2,364",222,187,222,"21,205","21,917","22,169"
Keweenaw County,"2,130","2,111","2,102",12,17,29,"2,076","2,048","2,048",33,19,15,2,4,0,0,8,11,0,0,0,0,0,0
Lake County,"11,763","11,852","11,805",311,309,311,"10,220","10,301","10,248",939,940,931,27,25,26,117,110,114,11,15,1,26,45,65
Lapeer County,"88,202","88,038","87,975","4,092","4,114","4,247","84,482","84,158","83,169","1,092","1,108","1,022",484,500,425,307,266,212,24,26,14,456,553,799
Leelanau County,"21,639","21,652","21,649",938,945,909,"20,075","20,123","20,091",93,105,97,146,137,113,649,678,631,3,17,36,152,189,103
Lenawee County,"98,474","98,381","98,310","7,784","7,842","8,119","91,413","91,576","91,077","2,640","2,471","2,216",284,305,277,492,475,352,15,20,10,"1,003",767,742
Livingston County,"188,482","189,754","190,832","4,468","4,630","4,851","181,591","182,813","183,233","1,114","1,135","1,154","1,730","1,760","1,965",534,514,453,124,122,102,589,510,503
Luce County,"6,364","6,338","6,286",198,221,155,"5,066","5,043","4,968",485,429,504,17,32,29,361,409,402,2,8,11,29,32,10
Mackinac County,"10,817","10,780","10,781",185,191,209,"8,063","8,023","8,006",300,363,373,78,74,79,"1,822","1,731","1,770",14,17,24,12,21,43
Macomb County,"868,704","870,325","870,893","22,212","22,781","23,551","707,875","704,624","695,298","99,265","101,734","103,084","33,769","34,996","36,410","2,525","2,804","2,505",346,546,619,"5,005","4,851","5,292"
Manistee County,"24,444","24,457","24,539",738,772,834,"22,320","22,297","22,273",679,710,670,114,92,74,385,437,386,14,16,3,78,87,94
Marquette County,"66,939","66,686","66,403","1,001","1,016","1,052","62,426","62,152","61,712","1,130","1,118","1,027",654,627,561,558,545,620,33,32,25,102,141,98
